,week,venue,attendance,referee,home goals,away goals,home win?,draw?,away win?,home win odds,draw odds,away win odds,shots on goal,offsides,yellow cards,,
56,253,Villa Park (Birmingham),41046,BramallT.,1,0,True,False,False,1.74,3.85,4.8,3,5,5,,
57,253,Vitality Stadium (Bournemouth),10465,TaylorA.,0,4,False,False,True,2.95,3.3,2.5,15,3,3,,
58,253,St. James' Park (Newcastle),52252,CooteD.,6,1,True,False,False,1.92,3.75,4,11,2,3,,
59,253,Brentford Community Stadium (London),17098,SalisburyM.,1,1,False,True,False,2.65,3.3,2.8,7,9,5,,
60,253,Selhurst Park (London),25202,BrooksJ.,0,0,False,True,False,1.97,3.4,4.2,7,4,4,,
61,253,King Power Stadium (Leicester),32053,MadleyA.,2,1,True,False,False,2.46,3.3,3,11,4,4,,
62,253,Anfield (Liverpool),53254,OliverM.,3,2,True,False,False,1.17,8.2,17,11,5,1,,
63,253,Craven Cottage (London),24356,BankesP.,2,1,True,False,False,2.4,3.5,3,7,7,5,,
64,252,Elland Road (Leeds),36657,PawsonC.,1,6,False,False,True,4.5,4.4,1.7,10,3,1,,
65,252,City Ground (Nottingham),29435,HooperS.,0,2,False,False,True,4.8,4.1,1.7,8,4,4,,
66,252,London Stadium (London),62475,CooteD.,2,2,False,True,False,5.4,4.3,1.62,8,5,3,,
67,252,Etihad Stadium (Manchester),53329,EnglandD.,3,1,True,False,False,1.14,9,19,8,3,2,,
68,252,Stamford Bridge (London),40126,JonesR.,1,2,False,False,True,2.95,3.45,2.45,12,2,4,,
69,252,Goodison Park (Liverpool),39241,TaylorA.,1,3,False,False,True,2.27,3.3,3.4,14,1,5,,
70,252,St. Mary's Stadium (Southampton),30309,OliverM.,0,2,False,False,True,2.95,3.1,2.65,6,4,4,,
71,252,Tottenham Hotspur Stadium (London),61369,MadleyA.,2,3,False,False,True,1.51,4.6,6.2,14,2,4,,
72,252,Molineux Stadium (Wolverhampton),30769,TierneyP.,2,0,True,False,False,2.8,3.2,2.7,12,1,2,,
73,252,Anfield (Liverpool),53267,TierneyP.,2,2,False,True,False,2.75,3.6,2.6,11,4,8,,
74,251,Elland Road (Leeds),36427,HooperS.,1,5,False,False,True,2.06,3.5,3.7,15,4,4,,
75,251,St. Mary's Stadium (Southampton),30963,JonesR.,1,4,False,False,True,11,6.2,1.27,9,2,2,,
76,251,Villa Park (Birmingham),42076,TaylorA.,2,0,True,False,False,1.59,4.2,5.8,5,8,7,,
77,251,Brentford Community Stadium (London),17107,KavanaghC.,1,2,False,False,True,4.1,3.55,1.95,10,4,2,,
78,251,Craven Cottage (London),24491,GillettJ.,0,1,False,False,True,2.95,3.25,2.55,8,2,2,,
79,251,King Power Stadium (Leicester),32094,CooteD.,0,1,False,False,True,2.11,3.5,3.55,11,5,3,,
80,251,Tottenham Hotspur Stadium (London),61405,AttwellS.,2,1,True,False,False,2.75,3.45,2.6,7,3,4,,
81,251,Molineux Stadium (Wolverhampton),31614,BankesP.,1,0,True,False,False,5,3.65,1.77,5,3,7,,
82,251,Vitality Stadium (Bournemouth),10266,BondD.,0,2,False,False,True,5.8,4.4,1.57,9,1,2,,
83,251,Elland Road (Leeds),36740,JonesR.,2,1,True,False,False,1.7,3.95,5,7,6,5,,
84,250,Goodison Park (Liverpool),39294,CooteD.,1,1,False,True,False,3.75,3.35,2.1,8,4,3,,
85,250,St. James' Park (Newcastle),52268,AttwellS.,2,0,True,False,False,2.32,3.55,3.05,7,1,0,,
86,250,London Stadium (London),62465,TierneyP.,1,0,True,False,False,1.76,3.75,4.9,5,2,2,,
87,250,Stamford Bridge (London),40082,MadleyA.,0,2,False,False,True,1.62,4,5.8,10,2,6,,
88,250,Emirates Stadium (London),60283,EnglandD.,4,1,True,False,False,1.28,6.4,10,11,6,2,,
89,250,Vitality Stadium (Bournemouth),10305,BankesP.,2,1,True,False,False,2.55,3.25,2.9,9,2,5,,
90,250,Amex Stadium (Brighton),31493,OliverM.,3,3,False,True,False,1.63,4.2,5.4,20,4,3,,
91,250,Selhurst Park (London),25143,RobinsonT.,2,1,True,False,False,2.4,3.3,3.1,11,3,7,,
92,250,City Ground (Nottingham),29368,KavanaghC.,1,1,False,True,False,3.3,3.1,2.41,8,2,8,,
93,250,Emirates Stadium (London),60247,AttwellS.,4,1,True,False,False,1.27,6,12,10,4,1,,
94,249,Stamford Bridge (London),40025,EnglandD.,2,2,False,True,False,1.51,4.2,7.2,10,3,4,,
95,249,Villa Park (Birmingham),41021,JonesR.,3,0,True,False,False,1.72,3.9,4.9,12,2,5,,
96,249,Brentford Community Stadium (London),17006,BondD.,1,1,False,True,False,1.87,3.9,4.1,3,4,5,,
97,249,St. Mary's Stadium (Southampton),30157,HooperS.,3,3,False,True,False,4.5,3.65,1.83,10,3,2,,
98,249,Molineux Stadium (Wolverhampton),31570,SalisburyM.,2,4,False,False,True,2.41,3.25,3.15,12,2,8,,
99,249,St. James' Park (Newcastle),52240,MadleyA.,2,1,True,False,False,1.64,3.9,5.8,12,0,3,,
100,249,Craven Cottage (London),24426,CooteD.,0,3,False,False,True,7.2,4.8,1.45,9,4,1,,
101,249,Old Trafford (Manchester),73439,TaylorA.,0,0,False,True,False,1.28,6.2,10,8,2,2,,
102,249,London Stadium (London),62472,KavanaghC.,1,1,False,True,False,2.32,3.25,3.3,10,7,1,,
103,249,Selhurst Park (London),25844,JonesR.,0,1,False,False,True,9.4,5,1.36,4,5,4,,
104,248,Goodison Park (Liverpool),39036,HooperS.,1,0,True,False,False,2.65,3.1,2.9,10,4,3,,
105,248,Elland Road (Leeds),36471,TierneyP.,2,2,False,True,False,4.3,3.8,1.84,6,6,2,,
106,248,King Power Stadium (Leicester),32170,MarrinerA.,1,3,False,False,True,4,3.65,1.94,13,4,5,,
107,248,Tottenham Hotspur Stadium (London),61460,PawsonC.,3,1,True,False,False,1.46,4.6,7.4,12,2,4,,
108,248,Brentford Community Stadium (London),17025,TaylorA.,3,2,True,False,False,2.03,3.55,3.75,11,4,3,,
109,248,Anfield (Liverpool),53001,MadleyA.,7,0,True,False,False,2.5,3.7,2.8,12,4,5,,
110,248,City Ground (Nottingham),29353,BrooksJ.,2,2,False,True,False,3,3.05,2.65,7,0,8,,
111,248,St. Mary's Stadium (Southampton),30139,JonesR.,1,0,True,False,False,2.65,3.35,2.75,5,6,6,,
112,248,Emirates Stadium (London),60222,KavanaghC.,3,2,True,False,False,1.22,6.8,13,13,0,2,,
113,248,Villa Park (Birmingham),41893,PawsonC.,1,0,True,False,False,2.17,3.3,3.6,1,5,7,,
114,247,Amex Stadium (Brighton),31523,AttwellS.,4,0,True,False,False,1.7,3.95,5,11,0,3,,
115,247,Stamford Bridge (London),39905,OliverM.,1,0,True,False,False,1.59,4.1,5.8,5,4,2,,
