,venue,venue capacity,attendance,referee,home team,away team,month,home team status,away team status,home goals,away goals,home win?,draw?,away win?,home win odds,draw odds,away win odds,shots on goal,offsides,yellow cards
301,Stadion Arsenal (Tula),20048.0,3244,MeshkovV.(Rus),Arsenal Tula,Akhmat Grozny,04,3,3,0,0,False,True,False,3.7,3.35,2.11,8,8,2
302,Samara Arena (Samara),44918.0,7927,ChistyakovA.(Rus),Krylya Sovetov,Ufa,04,3,3,1,2,False,False,True,2.04,3.15,4.3,8,1,5
303,VTB Arena (Moscow),26121.0,14127,KukuyanP.(Rus),Dynamo Moscow,FK Rostov,03,3,3,1,1,False,True,False,1.5,4.3,7.0,6,8,4
304,Fisht Olympic Stadium (Sochi),47659.0,3807,LyubimovA.(Rus),Sochi,Krylya Sovetov,03,3,3,2,3,False,False,True,2.17,3.3,3.6,8,4,9
305,VEB Arena (Moscow),30457.0,12042,LevnikovK.(Rus),CSKA Moscow,Rubin Kazan,03,3,3,6,1,True,False,False,1.41,4.9,7.8,11,4,8
306,BetBoom Arena (Ufa),15132.0,4570,ShadyhanovP.(Rus),Ufa,Krasnodar,03,3,3,1,1,False,True,False,2.6,3.05,3.0,8,1,5
307,Gazprom Arena (Saint Petersburg),67800.0,31426,KarasevS.(Rus),Zenit,Arsenal Tula,03,3,3,3,0,True,False,False,1.19,7.4,15.0,11,1,3
308,Akhmat-Arena (Groznyj),30597.0,5488,KazartsevV.(Rus),Akhmat Grozny,Lokomotiv Moscow,03,3,3,2,3,False,False,True,2.01,3.45,3.95,17,9,9
309,Nizhny Novgorod Stadium (Nizhny Novgorod),44899.0,18517,IvanovS.(Rus),Pari NN,Spartak Moscow,03,3,3,1,1,False,True,False,5.4,3.8,1.68,8,3,7
310,Ak Bars Arena (Kazan),45093.0,3344,MeshkovV.(Rus),Rubin Kazan,FK Rostov,03,3,3,1,2,False,False,True,2.42,3.15,3.2,11,5,5
311,Otkrytiye Arena (Moscow),45360.0,4969,KukulyakE.(Rus),Spartak Moscow,Krasnodar,03,3,3,1,2,False,False,True,1.6,4.3,5.8,9,6,3
312,Samara Arena (Samara),44918.0,8776,FrolovA.(Rus),Krylya Sovetov,Zenit,03,3,3,1,1,False,True,False,4.9,4.1,1.69,10,4,6
313,Arena Khimki (Khimki),18636.0,503,MatyuninA.(Rus),Khimki,Sochi,03,3,3,0,0,False,True,False,4.7,3.8,1.77,6,5,8
314,Yekaterinburg Arena (Yekaterinburg),25000.0,3572,KarasevS.(Rus),Ural,Akhmat Grozny,03,3,3,0,0,False,True,False,3.25,2.9,2.6,7,5,1
315,RZD Arena (Moscow),27084.0,11178,IvanovS.(Rus),Lokomotiv Moscow,CSKA Moscow,03,3,3,1,2,False,False,True,3.65,3.3,2.22,11,7,4
316,Stadion Arsenal (Tula),20048.0,5246,BobrovskiyY.(Rus),Arsenal Tula,Dynamo Moscow,03,3,3,1,4,False,False,True,5.0,3.75,1.75,10,1,5
317,Akhmat-Arena (Groznyj),30597.0,6722,MoskalevV.(Rus),Akhmat Grozny,Rubin Kazan,03,3,3,1,2,False,False,True,1.83,3.7,4.4,11,3,6
318,Rostov Arena (Rostov),43472.0,14564,PaninI.(Rus),FK Rostov,Sochi,03,3,3,0,1,False,False,True,2.95,3.25,2.55,5,1,6
319,Gazprom Arena (Saint Petersburg),67800.0,24377,IvanovS.(Rus),Zenit,Ufa,03,3,3,2,0,True,False,False,1.21,7.2,13.0,9,1,2
320,Krasnodar Stadium (Krasnodar),35179.0,6230,TurbinE.(Rus),Krasnodar,Ural,03,3,3,2,1,True,False,False,2.7,3.25,2.8,7,1,2
321,VTB Arena (Moscow),26121.0,19353,KarasevS.(Rus),Dynamo Moscow,Spartak Moscow,03,3,3,0,2,False,False,True,2.42,3.25,3.15,3,2,8
322,Samara Arena (Samara),44918.0,3756,ShadyhanovP.(Rus),Krylya Sovetov,Arsenal Tula,03,3,3,2,2,False,True,False,1.97,3.35,4.3,10,2,9
323,RZD Arena (Moscow),27084.0,3118,LyubimovA.(Rus),Lokomotiv Moscow,Khimki,03,3,3,3,2,True,False,False,1.98,3.5,4.0,10,7,8
324,Gazprom Arena (Saint Petersburg),67800.0,16668,KukulyakE.(Rus),Zenit,Rubin Kazan,02,3,3,3,2,True,False,False,1.22,7.6,13.0,13,4,4
325,Akhmat-Arena (Groznyj),30597.0,6612,SuhojA.(Rus),Akhmat Grozny,Ufa,02,3,3,2,1,True,False,False,1.88,3.35,4.8,8,2,8
326,Otkrytiye Arena (Moscow),45360.0,10961,MeshkovV.(Rus),Spartak Moscow,CSKA Moscow,02,3,3,0,2,False,False,True,2.95,3.2,2.6,6,3,5
327,Fisht Olympic Stadium (Sochi),47659.0,3234,BezborodovV.(Rus),Sochi,Arsenal Tula,02,3,3,2,0,True,False,False,1.66,4.0,5.4,5,3,6
328,Arena Khimki (Khimki),18636.0,2198,LevnikovK.(Rus),Khimki,Dynamo Moscow,02,3,3,0,3,False,False,True,5.4,3.9,1.67,12,8,3
329,Fisht Olympic Stadium (Sochi),47659.0,9298,IvanovS.(Rus),Sochi,Spartak Moscow,12,3,3,3,0,True,False,False,2.04,3.7,3.7,12,3,9
330,Krasnodar Stadium (Krasnodar),35179.0,10554,KukulyakE.(Rus),Krasnodar,Pari NN,12,3,3,0,0,False,True,False,1.48,4.6,6.6,7,2,7
331,RZD Arena (Moscow),27084.0,3225,LyubimovA.(Rus),Lokomotiv Moscow,Ufa,12,3,3,2,0,True,False,False,2.22,3.2,3.6,12,3,5
332,Akhmat-Arena (Groznyj),30597.0,4618,AmelinA.(Rus),Akhmat Grozny,Khimki,12,3,3,4,1,True,False,False,1.66,3.8,5.6,11,7,2
333,VTB Arena (Moscow),26121.0,17494,KarasevS.(Rus),Dynamo Moscow,Zenit,12,3,3,1,1,False,True,False,3.1,3.5,2.39,8,8,2
334,Rostov Arena (Rostov),43472.0,5255,KukuyanP.(Rus),FK Rostov,Ural,12,3,3,1,4,False,False,True,2.06,3.2,4.2,14,3,6
335,VEB Arena (Moscow),30457.0,0,PaninI.(Rus),CSKA Moscow,Arsenal Tula,12,3,3,2,0,True,False,False,1.56,4.0,6.8,7,1,4
336,Fisht Olympic Stadium (Sochi),47659.0,4521,KarasevS.(Rus),Sochi,Krasnodar,12,3,3,1,2,False,False,True,2.41,3.6,3.0,9,3,4
337,VTB Arena (Moscow),26121.0,7437,BezborodovV.(Rus),Dynamo Moscow,Ufa,12,3,3,2,0,True,False,False,1.69,3.6,5.8,9,3,3
338,Nizhny Novgorod Stadium (Nizhny Novgorod),44899.0,1789,ChistyakovA.(Rus),Pari NN,Rubin Kazan,12,3,3,2,1,True,False,False,3.35,3.25,2.31,11,1,4
339,Arena Khimki (Khimki),18636.0,761,KukulyakE.(Rus),Khimki,Arsenal Tula,12,3,3,1,2,False,False,True,2.03,3.4,3.95,13,2,6
340,RZD Arena (Moscow),27084.0,3336,LevnikovK.(Rus),Lokomotiv Moscow,Ural,12,3,3,0,1,False,False,True,1.77,3.45,5.4,7,4,9
341,Otkrytiye Arena (Moscow),45360.0,5850,MeshkovV.(Rus),Spartak Moscow,Akhmat Grozny,12,3,3,2,1,True,False,False,2.18,3.3,3.6,10,8,7
342,Samara Arena (Samara),44918.0,5918,MoskalevV.(Rus),Krylya Sovetov,CSKA Moscow,12,3,3,0,1,False,False,True,3.15,3.2,2.46,13,2,3
343,Stadion Arsenal (Tula),20048.0,3255,MoskalevV.(Rus),Arsenal Tula,Lokomotiv Moscow,11,3,3,3,1,True,False,False,3.35,3.4,2.3,8,1,6
344,BetBoom Arena (Ufa),15132.0,1325,KukuyanP.(Rus),Ufa,Spartak Moscow,11,3,3,1,1,False,True,False,3.0,3.2,2.6,7,5,11
