,venue,venue capacity,attendance,referee,home team,away team,month,home team status,away team status,home goals,away goals,home win?,draw?,away win?,home win odds,draw odds,away win odds,shots on goal,offsides,yellow cards
373,Akhmat-Arena (Groznyj),30597.0,6389,KarasevS.(Rus),Akhmat Grozny,Ural,10,3,3,1,0,True,False,False,1.7,3.65,5.6,10,0,2
374,BetBoom Arena (Ufa),15132.0,454,PaninI.(Rus),Ufa,Rubin Kazan,10,3,3,1,1,False,True,False,2.8,3.2,2.75,8,1,5
375,VEB Arena (Moscow),30457.0,6375,MeshkovV.(Rus),CSKA Moscow,Krylya Sovetov,10,3,3,3,1,True,False,False,1.82,3.75,4.4,13,3,3
376,Rostov Arena (Rostov),43472.0,4224,LevnikovK.(Rus),FK Rostov,Arsenal Tula,10,3,3,4,0,True,False,False,1.87,3.55,4.5,10,3,3
377,Nizhny Novgorod Stadium (Nizhny Novgorod),44899.0,2857,MatyuninA.(Rus),Pari NN,Krasnodar,10,3,3,1,4,False,False,True,6.4,4.5,1.51,14,7,7
378,Krasnodar Stadium (Krasnodar),35179.0,10554,SukhoyVasilievichA.(Rus),Krasnodar,Ufa,10,3,3,1,1,False,True,False,1.39,5.2,7.8,10,3,5
379,Arena Khimki (Khimki),18636.0,480,ShadyhanovP.(Rus),Khimki,Akhmat Grozny,10,3,3,2,0,True,False,False,2.95,3.1,2.65,6,5,6
380,Samara Arena (Samara),44918.0,997,AmelinA.(Rus),Krylya Sovetov,Pari NN,10,3,3,2,0,True,False,False,1.71,3.75,5.2,4,3,2
381,Yekaterinburg Arena (Yekaterinburg),25000.0,487,LyubimovA.(Rus),Ural,CSKA Moscow,10,3,3,0,1,False,False,True,4.8,3.65,1.79,5,3,1
382,Fisht Olympic Stadium (Sochi),47659.0,4735,KukulyakE.(Rus),Sochi,FK Rostov,10,3,3,3,2,True,False,False,1.65,3.9,5.6,8,2,5
383,Otkrytiye Arena (Moscow),45360.0,10443,KarasevS.(Rus),Spartak Moscow,Dynamo Moscow,10,3,3,2,2,False,True,False,2.65,3.25,2.8,6,4,8
384,Ak Bars Arena (Kazan),45093.0,4511,LevnikovK.(Rus),Rubin Kazan,Lokomotiv Moscow,10,3,3,2,2,False,True,False,2.24,3.35,3.4,13,0,5
385,Akhmat-Arena (Groznyj),30597.0,7640,LevnikovK.(Rus),Akhmat Grozny,Spartak Moscow,10,3,3,0,1,False,False,True,2.95,3.25,2.55,4,14,6
386,RZD Arena (Moscow),27084.0,4472,KukuyanP.(Rus),Lokomotiv Moscow,FK Rostov,10,3,3,1,2,False,False,True,2.03,3.45,3.9,12,2,4
387,Gazprom Arena (Saint Petersburg),67800.0,12762,ShadyhanovP.(Rus),Zenit,Sochi,10,3,3,1,2,False,False,True,1.4,5.2,7.4,9,2,4
388,BetBoom Arena (Ufa),15132.0,679,MeshkovV.(Rus),Ufa,Ural,10,3,3,0,1,False,False,True,1.95,3.35,4.4,8,2,4
389,Stadion Arsenal (Tula),20048.0,2868,BezborodovV.(Rus),Arsenal Tula,Khimki,10,3,3,0,0,False,True,False,3.0,3.25,2.49,5,3,6
390,VEB Arena (Moscow),30457.0,7448,MoskalevV.(Rus),CSKA Moscow,Krasnodar,10,3,3,0,0,False,True,False,2.41,3.55,3.0,15,2,4
391,VTB Arena (Moscow),26121.0,7437,KukulyakE.(Rus),Dynamo Moscow,Krylya Sovetov,10,3,3,0,1,False,False,True,1.73,3.85,5.0,9,4,5
392,Nizhny Novgorod Stadium (Nizhny Novgorod),44899.0,2996,LevnikovK.(Rus),Pari NN,CSKA Moscow,09,3,3,0,2,False,False,True,5.8,3.95,1.63,8,3,3
393,Yekaterinburg Arena (Yekaterinburg),25000.0,751,MatyuninA.(Rus),Ural,Arsenal Tula,09,3,3,2,0,True,False,False,2.9,3.1,2.7,8,4,7
394,Krasnodar Stadium (Krasnodar),35179.0,10554,PaninI.(Rus),Krasnodar,Sochi,09,3,3,3,0,True,False,False,2.26,3.45,3.25,14,2,7
395,Rostov Arena (Rostov),43472.0,3903,KazartsevV.(Rus),FK Rostov,Akhmat Grozny,09,3,3,1,2,False,False,True,2.7,3.1,2.9,15,4,7
396,VTB Arena (Moscow),26121.0,7101,SuhojA.(Rus),Dynamo Moscow,Rubin Kazan,09,3,3,2,0,True,False,False,1.72,3.85,5.0,16,4,9
397,Otkrytiye Arena (Moscow),45360.0,6898,LyubimovA.(Rus),Spartak Moscow,Ufa,09,3,3,2,0,True,False,False,1.54,4.3,6.2,9,4,4
398,Gazprom Arena (Saint Petersburg),67800.0,13471,MeshkovV.(Rus),Zenit,Krylya Sovetov,09,3,3,2,1,True,False,False,1.28,6.2,10.0,15,4,7
399,VEB Arena (Moscow),30457.0,9023,KarasevS.(Rus),CSKA Moscow,Spartak Moscow,09,3,3,1,0,True,False,False,2.5,3.5,2.9,5,5,5
400,Central Stadium (Kazan),25400.0,7480,IvanovS.(Rus),Rubin Kazan,Zenit,09,3,3,1,3,False,False,True,4.7,4.1,1.72,10,4,4
401,Yekaterinburg Arena (Yekaterinburg),25000.0,834,SukhoyVasilievichA.(Rus),Ural,Lokomotiv Moscow,09,3,3,0,0,False,True,False,4.5,3.5,1.88,7,6,5
402,Fisht Olympic Stadium (Sochi),47659.0,498,KazartsevV.(Rus),Sochi,Dynamo Moscow,09,3,3,0,1,False,False,True,2.34,3.4,3.15,16,4,0
403,Nizhny Novgorod Stadium (Nizhny Novgorod),44899.0,497,LyubimovA.(Rus),Pari NN,Arsenal Tula,09,3,3,2,3,False,False,True,2.5,3.05,3.2,13,3,4
404,Akhmat-Arena (Groznyj),30597.0,7399,SidenkovI.(Rus),Akhmat Grozny,Krasnodar,09,3,3,0,2,False,False,True,2.7,3.25,2.75,5,5,5
405,Samara Arena (Samara),44918.0,998,PaninI.(Rus),Krylya Sovetov,FK Rostov,09,3,3,4,2,True,False,False,2.38,3.1,3.35,14,3,3
406,Rostov Arena (Rostov),43472.0,5669,MatyuninA.(Rus),FK Rostov,Krasnodar,09,3,3,1,1,False,True,False,3.8,3.55,2.02,8,6,8
407,Central Stadium (Kazan),25400.0,6077,MoskalevV.(Rus),Rubin Kazan,Ural,09,3,3,4,0,True,False,False,1.68,3.85,5.4,9,1,5
408,VTB Arena (Moscow),26121.0,7146,MeshkovV.(Rus),Dynamo Moscow,Pari NN,09,3,3,1,2,False,False,True,1.31,5.4,11.0,7,7,4
409,Fisht Olympic Stadium (Sochi),47659.0,498,SukhoyVasilievichA.(Rus),Sochi,Ufa,09,3,3,3,1,True,False,False,1.7,3.65,5.6,14,6,3
410,Stadion Arsenal (Tula),20048.0,4650,SidenkovI.(Rus),Arsenal Tula,CSKA Moscow,09,3,3,2,2,False,True,False,5.0,3.85,1.71,12,4,6
411,Otkrytiye Arena (Moscow),45360.0,2968,IvanovS.(Rus),Spartak Moscow,Khimki,09,3,3,3,1,True,False,False,1.5,4.4,6.6,7,7,7
412,Gazprom Arena (Saint Petersburg),67800.0,7516,KukulyakE.(Rus),Zenit,Akhmat Grozny,09,3,3,3,1,True,False,False,1.37,5.4,8.2,15,2,4
413,Krasnodar Stadium (Krasnodar),35179.0,491,KukulyakE.(Rus),Krasnodar,Rubin Kazan,08,3,3,2,0,True,False,False,1.62,4.4,5.4,19,3,4
414,VTB Arena (Moscow),26121.0,2697,LevnikovK.(Rus),Dynamo Moscow,Lokomotiv Moscow,08,3,3,1,1,False,True,False,2.06,3.6,3.8,7,6,6
415,Arena Khimki (Khimki),18636.0,510,MoskalevV.(Rus),Khimki,Pari NN,08,3,3,1,1,False,True,False,2.11,3.25,4.0,6,4,4
416,Yekaterinburg Arena (Yekaterinburg),25000.0,496,LyubimovA.(Rus),Ural,FK Rostov,08,3,3,1,1,False,True,False,3.5,3.1,2.37,10,4,2
417,Gazprom Arena (Saint Petersburg),67800.0,998,IvanovS.(Rus),Zenit,CSKA Moscow,08,3,3,1,0,True,False,False,1.6,4.6,5.4,9,5,3
418,Akhmat-Arena (Groznyj),30597.0,7517,SuhojA.(Rus),Akhmat Grozny,Arsenal Tula,08,3,3,2,1,True,False,False,1.85,3.9,4.3,11,2,5
419,Otkrytiye Arena (Moscow),45360.0,2713,MeshkovV.(Rus),Spartak Moscow,Sochi,08,3,3,1,2,False,False,True,1.81,3.9,4.6,6,8,7
420,Arena Khimki (Khimki),18636.0,620,KazartsevV.(Rus),Khimki,Rubin Kazan,08,3,3,1,1,False,True,False,2.5,3.35,2.95,12,3,4
421,Nizhny Novgorod Stadium (Nizhny Novgorod),44899.0,991,KukulyakE.(Rus),Pari NN,FK Rostov,08,3,3,1,2,False,False,True,3.4,3.1,2.42,7,2,5
422,RZD Arena (Moscow),27084.0,2914,MeshkovV.(Rus),Lokomotiv Moscow,Krasnodar,08,3,3,2,1,True,False,False,2.6,3.5,2.75,10,4,7
423,Samara Arena (Samara),44918.0,1556,FrolovA.(Rus),Krylya Sovetov,Sochi,08,3,3,1,0,True,False,False,2.65,3.35,2.8,8,8,2
424,BetBoom Arena (Ufa),15132.0,761,ShadyhanovP.(Rus),Ufa,Zenit,08,3,3,1,1,False,True,False,8.0,5.4,1.39,12,0,4
425,Yekaterinburg Arena (Yekaterinburg),25000.0,460,SidenkovI.(Rus),Ural,Dynamo Moscow,08,3,3,0,1,False,False,True,5.8,4.0,1.64,11,4,5
426,Stadion Arsenal (Tula),20048.0,998,MoskalevV.(Rus),Arsenal Tula,Spartak Moscow,08,3,3,1,1,False,True,False,5.8,4.3,1.61,6,5,9
427,Fisht Olympic Stadium (Sochi),47659.0,491,BezborodovV.(Rus),Sochi,Khimki,08,3,3,3,0,True,False,False,1.9,3.5,4.6,11,4,1
428,Krasnodar Stadium (Krasnodar),35179.0,500,ShadyhanovP.(Rus),Krasnodar,Arsenal Tula,08,3,3,3,2,True,False,False,1.52,4.7,6.2,15,2,3
429,Ak Bars Arena (Kazan),45093.0,10488,SuhojA.(Rus),Rubin Kazan,Krylya Sovetov,08,3,3,1,1,False,True,False,2.55,3.35,2.95,6,3,5
430,RZD Arena (Moscow),27084.0,2994,KarasevS.(Rus),Lokomotiv Moscow,Zenit,08,3,3,1,1,False,True,False,4.5,3.9,1.82,6,2,10
431,Akhmat-Arena (Groznyj),30597.0,7069,IvanovS.(Rus),Akhmat Grozny,Dynamo Moscow,08,3,3,2,1,True,False,False,3.1,3.3,2.46,6,1,9
432,Rostov Arena (Rostov),43472.0,0,LevnikovK.(Rus),FK Rostov,CSKA Moscow,08,3,3,1,3,False,False,True,3.5,3.25,2.29,12,2,2
433,Nizhny Novgorod Stadium (Nizhny Novgorod),44899.0,482,KazartsevV.(Rus),Pari NN,Ufa,08,3,3,1,2,False,False,True,3.4,2.95,2.55,10,1,8
434,Fisht Olympic Stadium (Sochi),47659.0,467,LevnikovK.(Rus),Sochi,Ural,08,3,3,2,0,True,False,False,1.66,3.85,5.8,4,3,3
435,VTB Arena (Moscow),26121.0,2438,BezborodovV.(Rus),Dynamo Moscow,CSKA Moscow,08,3,3,2,1,True,False,False,2.68,3.13,2.88,9,3,4
436,Ak Bars Arena (Kazan),45093.0,8147,KukuyanP.(Rus),Rubin Kazan,Akhmat Grozny,08,3,3,2,1,True,False,False,2.04,3.4,3.69,9,2,8
437,Arena Khimki (Khimki),18636.0,555,ShadyhanovP.(Rus),Khimki,FK Rostov,08,3,3,1,1,False,True,False,2.96,3.32,2.41,7,3,6
438,Otkrytiye Arena (Moscow),45360.0,2849,SuhojA.(Rus),Spartak Moscow,Pari NN,08,3,3,1,2,False,False,True,1.37,5.23,8.28,7,4,4
439,Stadion Arsenal (Tula),20048.0,988,KukulyakE.(Rus),Arsenal Tula,Krylya Sovetov,08,3,3,2,1,True,False,False,2.76,3.2,2.63,7,3,2
440,Gazprom Arena (Saint Petersburg),67800.0,983,AmelinA.(Rus),Zenit,Krasnodar,08,3,3,3,2,True,False,False,1.48,5.03,6.4,9,1,3
441,Akhmat-Arena (Groznyj),30597.0,11318,SidenkovI.(Rus),Akhmat Grozny,Sochi,08,3,3,1,2,False,False,True,2.74,3.15,2.87,6,3,4
442,Rostov Arena (Rostov),43472.0,0,MeshkovV.(Rus),FK Rostov,Zenit,08,3,3,2,4,False,False,True,6.8,4.6,1.5,9,2,6
443,Krasnodar Stadium (Krasnodar),35179.0,500,LyubimovA.(Rus),Krasnodar,Khimki,08,3,3,0,1,False,False,True,1.61,4.39,5.52,12,6,10
444,Yekaterinburg Arena (Yekaterinburg),25000.0,482,AmelinA.(Rus),Ural,Pari NN,08,3,3,1,1,False,True,False,2.16,3.1,4.08,5,1,0
445,VEB Arena (Moscow),30457.0,1980,MatyuninA.(Rus),CSKA Moscow,Lokomotiv Moscow,07,3,3,1,2,False,False,True,2.17,3.4,3.63,9,2,6
446,BetBoom Arena (Ufa),15132.0,669,SukhoyVasilievichA.(Rus),Ufa,Dynamo Moscow,07,3,3,2,3,False,False,True,3.89,3.22,2.16,8,1,8
447,Stadion Arsenal (Tula),20048.0,996,IvanovS.(Rus),Arsenal Tula,Rubin Kazan,07,3,3,0,3,False,False,True,3.39,3.4,2.27,11,1,4
448,Nizhny Novgorod Stadium (Nizhny Novgorod),44899.0,487,ShadyhanovP.(Rus),Pari NN,Sochi,07,3,3,1,0,True,False,False,4.23,3.06,2.03,5,2,3
449,VEB Arena (Moscow),30457.0,1000,IvanovS.(Rus),CSKA Moscow,Ufa,07,3,3,1,0,True,False,False,1.7,3.76,5.7,8,0,0
450,Samara Arena (Samara),44918.0,500,LevnikovK.(Rus),Krylya Sovetov,Akhmat Grozny,07,3,3,1,2,False,False,True,2.13,3.37,3.78,10,3,5
451,Yekaterinburg Arena (Yekaterinburg),25000.0,471,KazartsevV.(Rus),Ural,Krasnodar,07,3,3,0,3,False,False,True,3.55,3.42,2.19,9,2,4
452,RZD Arena (Moscow),27084.0,0,PaninI.(Rus),Lokomotiv Moscow,Arsenal Tula,07,3,3,3,1,True,False,False,1.65,3.89,6.0,12,3,4
453,Ak Bars Arena (Kazan),45093.0,14409,BezborodovV.(Rus),Rubin Kazan,Spartak Moscow,07,3,3,1,0,True,False,False,3.73,3.77,2.01,10,5,10
454,Arena Khimki (Khimki),18636.0,650,KukulyakE.(Rus),Khimki,Zenit,07,3,3,1,3,False,False,True,10.0,5.83,1.3,13,4,1
455,Stadion imeni V.I. Lenina (Khabarovsk),15200.0,0,MoskalevV.(Rus),SKA Khabarovsk,Khimki,05,3,3,1,0,True,False,False,2.95,2.95,2.75,6,4,7
456,Ak Bars Arena (Kazan),45093.0,25142,IvanovS.(Rus),Rubin Kazan,Ufa,05,3,3,1,2,False,False,True,3.05,3.6,2.31,7,0,8
457,Fisht Olympic Stadium (Sochi),47659.0,5837,LevnikovK.(Rus),Sochi,Pari NN,05,3,3,0,0,False,True,False,1.49,4.6,6.6,9,5,5
458,Samara Arena (Samara),44918.0,32314,KazartsevV.(Rus),Krylya Sovetov,Dynamo Moscow,05,3,3,5,2,True,False,False,2.65,3.2,2.9,11,2,6
459,Krasnodar Stadium (Krasnodar),35179.0,17122,ChistyakovA.(Rus),Krasnodar,Lokomotiv Moscow,05,3,3,1,0,True,False,False,2.85,3.9,2.35,9,2,5
460,Ak Bars Arena (Kazan),45093.0,5180,BobrovskiyY.(Rus),Rubin Kazan,Sochi,04,3,3,0,6,False,False,True,3.85,3.5,2.03,14,1,1
461,Yekaterinburg Arena (Yekaterinburg),25000.0,10172,IvanovS.(Rus),Ural,Ufa,04,3,3,2,1,True,False,False,2.95,2.8,2.9,10,1,5
462,VTB Arena (Moscow),26121.0,15682,IvanovS.(Rus),Dynamo Moscow,Akhmat Grozny,04,3,3,2,0,True,False,False,1.69,3.95,5.2,11,5,4
463,Nizhny Novgorod Stadium (Nizhny Novgorod),44899.0,14155,MeshkovV.(Rus),Pari NN,Dynamo Moscow,04,3,3,0,1,False,False,True,6.4,4.0,1.58,3,4,5
464,Rostov Arena (Rostov),43472.0,8604,KazartsevV.(Rus),FK Rostov,Krylya Sovetov,04,3,3,1,0,True,False,False,2.65,3.1,2.9,6,2,8
465,Ak Bars Arena (Kazan),45093.0,4284,BezborodovV.(Rus),Rubin Kazan,Khimki,04,3,3,2,3,False,False,True,3.0,3.3,2.47,11,0,5
466,Yekaterinburg Arena (Yekaterinburg),25000.0,5273,MoskalevV.(Rus),Ural,Khimki,03,3,3,0,1,False,False,True,2.18,3.05,3.95,11,4,3
467,BetBoom Arena (Ufa),15132.0,1602,BezborodovV.(Rus),Ufa,Pari NN,03,3,3,0,0,False,True,False,1.74,3.4,5.8,6,2,6
468,VEB Arena (Moscow),30457.0,5609,KukuyanP.(Rus),CSKA Moscow,Pari NN,03,3,3,1,0,True,False,False,1.45,4.4,8.2,6,0,3
469,Nizhny Novgorod Stadium (Nizhny Novgorod),44899.0,3115,KazartsevV.(Rus),Pari NN,Ural,02,3,3,1,0,True,False,False,2.95,2.8,2.9,9,2,8
470,Samara Arena (Samara),44918.0,4598,SukhoyVasilievichA.(Rus),Krylya Sovetov,Rubin Kazan,12,3,3,2,0,True,False,False,1.97,3.45,4.1,12,1,1
471,Gazprom Arena (Saint Petersburg),67800.0,19890,MatyuninA.(Rus),Zenit,FK Rostov,12,3,3,2,2,False,True,False,1.24,7.0,12.0,5,3,10
472,Yekaterinburg Arena (Yekaterinburg),25000.0,1390,LyubimovA.(Rus),Ural,Sochi,11,3,3,1,1,False,True,False,4.2,3.25,2.03,10,4,5
473,Gazprom Arena (Saint Petersburg),67800.0,16575,KukuyanP.(Rus),Zenit,Pari NN,11,3,3,5,1,True,False,False,1.14,9.6,22.0,12,6,8
474,Stadion Arsenal (Tula),20048.0,1652,LevnikovK.(Rus),Arsenal Tula,Ufa,11,3,3,0,0,False,True,False,3.25,3.15,2.41,5,3,5
475,Gazprom Arena (Saint Petersburg),67800.0,18190,KarasevS.(Rus),Zenit,Dynamo Moscow,10,3,3,4,1,True,False,False,1.56,4.5,6.0,14,2,7
476,VTB Arena (Moscow),26121.0,6247,SidenkovI.(Rus),Dynamo Moscow,Khimki,10,3,3,4,1,True,False,False,1.58,4.2,6.2,10,4,1
477,Stadion Arsenal (Tula),20048.0,4867,KukuyanP.(Rus),Arsenal Tula,Zenit,10,3,3,2,1,True,False,False,8.4,5.4,1.35,10,5,6
478,Central Stadium (Kazan),25400.0,3986,KarasevS.(Rus),Rubin Kazan,Pari NN,10,3,3,0,1,False,False,True,1.99,3.35,4.2,10,1,1
479,Arena Khimki (Khimki),18636.0,1600,AmelinA.(Rus),Khimki,Lokomotiv Moscow,09,3,3,0,0,False,True,False,3.3,3.3,2.29,6,2,4
480,BetBoom Arena (Ufa),15132.0,493,KukuyanP.(Rus),Ufa,Khimki,09,3,3,3,2,True,False,False,2.41,3.3,3.1,11,6,3
481,RZD Arena (Moscow),27084.0,2559,KazartsevV.(Rus),Lokomotiv Moscow,Krylya Sovetov,09,3,3,2,0,True,False,False,2.15,3.35,3.6,10,2,4
482,BetBoom Arena (Ufa),15132.0,594,BezborodovV.(Rus),Ufa,Krylya Sovetov,08,3,3,1,2,False,False,True,2.7,3.25,2.9,6,4,2
483,VEB Arena (Moscow),30457.0,1915,KarasevS.(Rus),CSKA Moscow,Akhmat Grozny,08,3,3,2,0,True,False,False,1.58,4.4,6.0,5,3,6
484,Otkrytiye Arena (Moscow),45360.0,2945,KukulyakE.(Rus),Spartak Moscow,Ural,08,3,3,1,0,True,False,False,1.42,4.9,8.2,7,4,5
485,BetBoom Arena (Ufa),15132.0,746,SidenkovI.(Rus),Ufa,Lokomotiv Moscow,08,3,3,1,1,False,True,False,3.55,3.26,2.21,7,2,9
486,Samara Arena (Samara),44918.0,500,KukuyanP.(Rus),Krylya Sovetov,Spartak Moscow,07,3,3,0,1,False,False,True,3.93,3.59,2.01,8,5,5
487,Rostov Arena (Rostov),43472.0,0,MoskalevV.(Rus),FK Rostov,Dynamo Moscow,07,3,3,0,2,False,False,True,3.39,3.21,2.36,11,4,5
488,Akhmat-Arena (Groznyj),30597.0,11086,KukuyanP.(Rus),Akhmat Grozny,Spartak Moscow,05,3,3,2,2,False,True,False,3.78,3.67,1.97,12,4,6
489,VTB Arena (Moscow),26121.0,12533,LevnikovK.(Rus),Dynamo Moscow,CSKA Moscow,05,3,3,3,2,True,False,False,3.22,3.54,2.21,13,1,7
490,Rostov Arena (Rostov),43472.0,25123,MatyuninA.(Rus),FK Rostov,Krasnodar,05,3,3,1,3,False,False,True,2.92,3.57,2.37,6,3,3
491,Arena Khimki (Khimki),18636.0,5450,IvanovS.(Rus),Khimki,Sochi,05,3,3,0,0,False,True,False,4.64,3.85,1.73,4,1,2
492,RZD Arena (Moscow),27084.0,11774,BezborodovV.(Rus),Lokomotiv Moscow,Ural,05,3,3,1,0,True,False,False,1.42,4.94,7.26,3,0,10
493,Ak Bars Arena (Kazan),45093.0,12433,MeshkovV.(Rus),Rubin Kazan,R. Volgograd,05,3,3,1,1,False,True,False,1.51,4.28,6.32,8,2,9
494,Mordovia Arena (Saransk),44442.0,7119,FrolovA.(Rus),Tambov,Zenit,05,3,3,1,5,False,False,True,26.0,13.0,1.06,17,5,1
495,Otkrytiye Arena (Moscow),45360.0,9649,BezborodovV.(Rus),Spartak Moscow,Khimki,05,3,3,2,1,True,False,False,1.31,5.8,9.41,11,3,9
496,Yekaterinburg Arena (Yekaterinburg),25000.0,12948,ShadyhanovP.(Rus),Ural,FK Rostov,05,3,3,1,0,True,False,False,3.05,3.02,2.53,7,4,4
497,VEB Arena (Moscow),30457.0,10704,MeshkovV.(Rus),CSKA Moscow,Krasnodar,05,3,3,3,1,True,False,False,1.83,4.12,4.06,9,1,5
498,Stadion Arsenal (Tula),20048.0,6103,LevnikovK.(Rus),Arsenal Tula,Rubin Kazan,05,3,3,2,4,False,False,True,2.77,3.01,2.77,12,1,8
499,RZD Arena (Moscow),27084.0,5100,KukuyanP.(Rus),Lokomotiv Moscow,Dynamo Moscow,05,3,3,0,0,False,True,False,2.79,3.29,2.61,3,6,6
500,BetBoom Arena (Ufa),15132.0,9660,MoskalevV.(Rus),Ufa,Zenit,05,3,3,0,0,False,True,False,3.53,3.66,2.05,7,1,4
501,Fisht Olympic Stadium (Sochi),47659.0,7340,KarasevS.(Rus),Sochi,R. Volgograd,05,3,3,2,1,True,False,False,1.35,4.99,8.58,14,4,4
502,Stadion Arsenal (Tula),20048.0,9432,IvanovS.(Rus),Arsenal Tula,Spartak Moscow,05,3,3,1,2,False,False,True,4.69,3.9,1.74,6,3,5
503,Gazprom Arena (Saint Petersburg),67800.0,39793,KarasevS.(Rus),Zenit,Lokomotiv Moscow,05,3,3,6,1,True,False,False,1.44,5.13,6.91,18,0,7
504,Rostov Arena (Rostov),43472.0,9063,PaninI.(Rus),FK Rostov,Tambov,05,3,3,2,0,True,False,False,1.06,13.0,26.0,9,2,4
505,Arena Khimki (Khimki),18636.0,1505,MoskalevV.(Rus),Khimki,Ural,05,3,3,1,0,True,False,False,2.45,3.16,3.02,14,4,4
506,Krasnodar Stadium (Krasnodar),35179.0,17590,SidenkovI.(Rus),Krasnodar,Sochi,05,3,3,1,3,False,False,True,2.02,3.76,3.53,11,5,6
507,VEB Arena (Moscow),30457.0,10155,KazartsevV.(Rus),CSKA Moscow,Ufa,05,3,3,1,1,False,True,False,1.68,3.76,5.44,10,6,4
508,Volgograd Arena (Volgograd),43713.0,7132,VasiljevS.(Rus),R. Volgograd,Akhmat Grozny,05,3,3,1,0,True,False,False,3.3,3.29,2.23,6,0,8
509,Ak Bars Arena (Kazan),45093.0,9108,KazartsevV.(Rus),Rubin Kazan,Krasnodar,04,3,3,0,1,False,False,True,2.48,3.5,2.8,11,4,3
510,Rostov Arena (Rostov),43472.0,15021,BezborodovV.(Rus),FK Rostov,Arsenal Tula,04,3,3,1,0,True,False,False,2.26,3.16,3.37,3,2,5
511,Otkrytiye Arena (Moscow),45360.0,11974,KukuyanP.(Rus),Spartak Moscow,CSKA Moscow,04,3,3,1,0,True,False,False,2.46,3.57,2.88,8,4,6
512,BetBoom Arena (Ufa),15132.0,7232,PaninI.(Rus),Ufa,Sochi,04,3,3,2,3,False,False,True,3.0,3.01,2.57,11,1,8
513,VTB Arena (Moscow),26121.0,11327,KukulyakE.(Rus),Dynamo Moscow,Khimki,04,3,3,0,1,False,False,True,1.38,4.9,7.88,10,4,3
514,Mordovia Arena (Saransk),44442.0,4921,ShadyhanovP.(Rus),Tambov,Lokomotiv Moscow,04,3,3,2,5,False,False,True,26.0,11.0,1.08,20,2,3
515,Gazprom Arena (Saint Petersburg),67800.0,24807,MeshkovV.(Rus),Zenit,R. Volgograd,04,3,3,6,0,True,False,False,1.07,11.0,32.0,15,1,1
516,Otkrytiye Arena (Moscow),45360.0,10980,MeshkovV.(Rus),Spartak Moscow,Ufa,04,3,3,0,3,False,False,True,1.53,4.22,6.5,8,7,7
517,Fisht Olympic Stadium (Sochi),47659.0,10767,VasiljevS.(Rus),Sochi,CSKA Moscow,04,3,3,2,1,True,False,False,3.0,3.32,2.44,16,3,6
518,Stadion Arsenal (Tula),20048.0,6420,KukulyakE.(Rus),Arsenal Tula,Tambov,04,3,3,4,0,True,False,False,1.1,9.27,23.0,13,2,5
519,Yekaterinburg Arena (Yekaterinburg),25000.0,10739,LyubimovA.(Rus),Ural,Rubin Kazan,04,3,3,0,1,False,False,True,4.63,3.59,1.78,5,2,9
520,Krasnodar Stadium (Krasnodar),35179.0,17590,IvanovS.(Rus),Krasnodar,Zenit,04,3,3,2,2,False,True,False,4.88,4.45,1.65,12,2,5
521,RZD Arena (Moscow),27084.0,10317,VilkovM.(Rus),Lokomotiv Moscow,FK Rostov,04,3,3,4,1,True,False,False,1.83,3.52,4.63,8,2,4
522,Volgograd Arena (Volgograd),43713.0,9101,KukuyanP.(Rus),R. Volgograd,Dynamo Moscow,04,3,3,0,3,False,False,True,4.95,3.42,1.78,10,1,7
523,VEB Arena (Moscow),30457.0,10240,KarasevS.(Rus),CSKA Moscow,R. Volgograd,04,3,3,2,0,True,False,False,1.29,5.63,10.0,8,0,1
524,RZD Arena (Moscow),27084.0,11902,LevnikovK.(Rus),Lokomotiv Moscow,Spartak Moscow,04,3,3,2,0,True,False,False,3.6,3.52,2.12,15,9,9
525,VTB Arena (Moscow),26121.0,10058,PaninI.(Rus),Dynamo Moscow,Ural,04,3,3,2,2,False,True,False,1.39,4.56,8.65,13,2,11
526,Fisht Olympic Stadium (Sochi),47659.0,9328,MoskalevV.(Rus),Sochi,Zenit,04,3,3,1,2,False,False,True,5.68,4.19,1.59,10,5,4
527,Stadion Arsenal (Tula),20048.0,8974,SidenkovI.(Rus),Arsenal Tula,Krasnodar,04,3,3,1,0,True,False,False,4.21,3.61,1.88,9,0,5
528,Rostov Arena (Rostov),43472.0,15011,VasiljevS.(Rus),FK Rostov,Rubin Kazan,04,3,3,0,1,False,False,True,2.89,3.03,2.64,12,3,5
529,BetBoom Arena (Ufa),15132.0,5620,KukuyanP.(Rus),Ufa,Akhmat Grozny,04,3,3,3,0,True,False,False,3.12,2.99,2.5,8,5,6
530,Gazprom Arena (Saint Petersburg),67800.0,20708,ShadyhanovP.(Rus),Zenit,Khimki,04,3,3,2,0,True,False,False,1.16,8.14,17.0,11,2,3
531,Rostov Arena (Rostov),43472.0,32888,KukuyanP.(Rus),FK Rostov,Spartak Moscow,04,3,3,2,3,False,False,True,3.46,3.31,2.2,11,5,4
532,Mordovia Arena (Saransk),44442.0,7540,MeshkovV.(Rus),Tambov,CSKA Moscow,04,3,3,1,2,False,False,True,34.0,15.0,1.05,13,2,6
533,Yekaterinburg Arena (Yekaterinburg),25000.0,7526,IvanovS.(Rus),Ural,Arsenal Tula,04,3,3,2,0,True,False,False,2.66,2.97,2.92,7,2,8
